Band,Width,PacketSize,p50,p90,p99,mean
5,80,1500,1287.7050000000002,2024.5570000000005,2857.97,1182.657599598262
5,80,3000,1483.82,2946.4199999999996,3787.36,1328.4980121164367
5,80,4500,436.221,577.572,1310.3899999999999,429.3810139607267
5,80,6000,744.973,1185.51,1568.35,673.7453122853611
5,80,7500,493.334,1215.76,1969.142,606.2046113734677
5,80,9000,448.90200000000004,694.5746999999999,1420.5,427.84836989471296
5,80,10500,627.7895,884.5005000000001,1332.1799999999998,640.1154853008752
5,80,12000,809.757,1290.57,1842.300499999998,807.0469805419281
5,80,13500,520.0375,702.9651999999999,919.7367899999994,489.9481724345238
5,80,15000,485.2585,731.7,923.5665600000002,409.46090565445024
5,160,1500,1334.4699999999998,1913.841,2681.0499999999997,1213.9465432253576
5,160,3000,753.942,2606.2590000000005,3190.4621,1189.640161122407
5,160,4500,426.5815,549.7805000000001,751.6047000000001,380.33621409719944
5,160,6000,532.7384999999999,1224.1,2097.69,637.1138757649093
5,160,7500,783.052,1318.52,2557.54,785.5448646507735
5,160,9000,409.929,577.1219000000001,952.1599900000002,344.8168407874477
5,160,10500,493.20500000000004,1057.3049999999998,1369.035,548.8127433734004
5,160,12000,658.5805,1277.27,2053.95,749.0697235667575
5,160,13500,434.984,627.8276000000001,782.494,372.14410848908625
5,160,15000,422.725,754.8459000000003,1058.25,423.4412780360111
6,80,1500,1023.83,2101.33,2918.4511000000366,1160.7635436526891
6,80,3000,933.596,2644.317,3595.31,1130.2883787442156
6,80,4500,490.976,580.6400000000001,693.192,440.95657465559515
6,80,6000,689.8634999999999,1261.23,1737.6499999999999,737.5777549514493
6,80,7500,498.676,1371.6799999999998,1675.7721,666.4230438221166
6,80,9000,495.724,715.7974000000007,1224.92,484.876758686888
6,80,10500,465.35800000000006,753.5733,889.6216299999998,421.54869370689653
6,80,12000,565.8649999999999,1009.01,1295.3537999999996,569.5379612846348
6,80,13500,473.82050000000004,646.983,840.8767699999997,454.09485339629833
6,80,15000,642.885,984.1419999999999,1349.8555000000001,601.3473128122868
6,160,1500,1454.89,2549.63,3096.790100000001,1395.1582605893127
6,160,3000,621.5169999999999,1432.9099999999999,2568.71,720.8166257732983
6,160,4500,469.15000000000003,567.885,687.226,419.086590678439
6,160,6000,543.0915,1117.6179999999997,1359.1061000000002,579.7294708529512
6,160,7500,323.9665,1050.0480000000005,1434.8925000000002,408.73096623411
6,160,9000,511.83000000000004,704.335,1250.8070000000002,495.31802965459684
6,160,10500,171.119,606.7434000000002,853.8673099999996,263.2833870487079
6,160,12000,642.847,1191.28,1712.15,696.3942876651066
6,160,13500,391.868,522.95,671.952,326.66639334720384
6,160,15000,240.153,509.7285,722.6384499999996,266.9675575109861
